,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
131,131,472250881,17944138817758430,@ tracietrucker FOH with y'all fake disrespect and 🌽 ball comments.,2023-12-25,67.0,-0.7096,Negative
132,132,11227842272,18017718538974203,He ain’t shit love💕,2023-12-26,19.0,0.7096,Positive
133,133,468145423,18009027371505640,Praise for what??? They married. He's not her fan!,2023-12-26,50.0,0.5377,Positive
134,134,178416834,17914700786849319,"He might be dreamy, but Simone don’t forget you are the sun! 🌞",2023-12-26,62.0,-0.3903,Negative
135,135,308063524,18006231644189776,🏆🏆🏆,2023-12-26,3.0,0.0,Neutral
136,136,6301368528,17856015201079094,@isha_jharv delusional that is what he said nothing wrong,2023-12-26,57.0,0.3724,Positive
137,137,189974279,18033715783666557,@queen_miaa99 PLEASE,2023-12-26,20.0,0.4648,Positive
138,138,1643401285,17994707417231674,Omg it’s Simone biles husband,2023-12-25,29.0,0.0,Neutral
139,139,2246663583,18005961191238371,"@dee_144k You know no other way but to leymt bw, ww, hw, aw down. You FAIL COLLECTIVELY and NON COLLECTIVELY",2023-12-25,108.0,-0.8151,Negative
140,140,2246663583,17937255497781701,"@dee_144k I pray you have a passport. You are a GERM. If you need funds to get one, I will help you.",2023-12-25,100.0,0.6124,Positive
141,141,2246663583,17894727023944839,@fightforyou25 He was still unheard on as many football players are. Is he a quarterback or a running back? NOPE... Everyone else is just an unknown football player. FOH,2023-12-25,169.0,0.0,Neutral
142,142,535218275,17938959587772221,@sheryl.speaks they obviously care what the public think that’s why they put up this post 😂,2023-12-25,91.0,0.7269,Positive
143,143,1308542809,18404970415007569,"Somone, do you actually realise that you are THEE Somone Biles?! That man should praise his ancestors every day for having the privilege of being called your husband.",2023-12-25,166.0,0.75,Positive
144,144,15345497,17999736074143941,Hi Barbie! He’s literally just Ken.,2023-12-25,35.0,0.0,Neutral
145,145,14579891,18006944045485235,Hi Simone and Mr Simone cause I don’t know your name and don’t care to know it.,2023-12-25,79.0,0.4939,Positive
146,146,4101092976,18031754560689122,Plz put this boy in his place come on sis 😂😭,2023-12-25,44.0,0.0258,Neutral
147,147,174663467,17923257884819955,"I hope he misspoke and never intended to embarrass you. I’m sure he loves you. But if he does, and you’re confident in that, stop with all the post trying to prove it to us.",2023-12-25,173.0,0.7842,Positive
148,148,1009966084,18008829164284055,"I recognize the Olympic medal winning gymnast in this photo,who's the guy?  Waiter?😂",2023-12-25,84.0,0.8677,Positive
149,149,1760242363,18075916459438966,And that’s on Jonathan Owen’s WIFE 😍😍😍,2023-12-25,38.0,0.8402,Positive
150,150,2931912188,18250218037227279,This ratio is crazy 😂,2023-12-25,21.0,0.128,Positive
