,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
155,155,62332940679,18008401163011992,@t2cold7  PERIOD 🔥🔥🔥🔥❤️❤️❤️❤️,2024-01-02,29.0,-0.8225,Negative
156,156,62332940679,18029275642768667,Best Married couple Merry belated Christmas 🎄,2024-01-02,45.0,0.8271,Positive
157,157,26927983963,18251246116175165,Loser,2024-01-02,5.0,-0.5267,Negative
158,158,18525263959,17861920086037305,😂😂😂 best comment,2024-01-02,16.0,0.9169,Positive
159,159,32069388497,17995842185228596,Looking for a cesspool of insufferable and insecure women? Look no further!,2024-01-03,75.0,-0.6476,Negative
160,160,32069388497,17900153351849239,@maxines.insta who are you? 😂 you are commenting on his page he isn’t commenting on yours,2024-01-03,89.0,0.4404,Positive
161,161,32069388497,18016059839069475,@onlyynya who are you? You are commenting on his page not the other way around. You are a normal broke civilian 😭,2024-01-03,113.0,-0.7096,Negative
162,162,32069388497,17985489860374671,@clairrpage lmao who are YOU😭 you are commenting on his page he’s never heard of you before,2024-01-03,91.0,0.2023,Positive
163,163,32069388497,18016922497878980,@trinityreitzell Who are You? You are on his page not the other way around. 😭,2024-01-03,77.0,-0.4767,Negative
164,164,226169358,18400802302047774,@j2279e IM not in the nfl,2024-01-03,25.0,0.0,Neutral
165,165,32069388497,18004610789200148,@samanthavillagutierrez you are on his page sweetheart,2024-01-03,54.0,0.6486,Positive
166,166,32069388497,17995011710247414,Does anybody outside of your family and friends know who you are?,2024-01-03,65.0,0.4767,Positive
167,167,32069388497,18111622600348067,@carriebhs you’re so mad 😂,2024-01-03,26.0,-0.2996,Negative
168,168,32069388497,17966144846535239,@janaenaejobe nothing special about you that’s for sure,2024-01-03,55.0,0.0108,Neutral
169,169,32069388497,17984927693554181,@clairrpage exactly. You haven’t done anything important or impactful with your life and you are on his page hating on him,2024-01-03,122.0,-0.3612,Negative
170,170,226169358,18030607648764045,@j2279e 😂😂😭 pressed much,2024-01-03,24.0,0.4019,Positive
171,171,22587395704,17902222601916964,Like why would you say that about your wife?,2024-01-03,44.0,0.3612,Positive
172,172,44657054199,18033429097683839,Simone rented Santa for her pictures but he forgot his beard?,2024-01-03,61.0,0.0,Neutral
173,173,49063820231,17918294144838075,"I’m PRAYING FOR BOTH OF YOU, PLEASE STAY LOVE LOCKED, The Father in Heaven sees all. Amen.",2024-01-03,90.0,0.9382,Positive
174,174,49063820231,18008215241178731,❤️❤️,2024-01-03,4.0,0.0,Neutral
175,175,48396591125,18193798585304729,Simone Biles 🙌🙌🙌 and…. him,2024-01-03,26.0,0.0,Neutral
176,176,13347542486,18037068517638898,@andreaarubio you’re cute and I don’t wanna be rude but get a life,2024-01-03,66.0,0.0,Neutral
177,177,7949688357,18316853188136857,hello mr simone biles,2024-01-03,21.0,0.0,Neutral
178,178,22098862325,17937071342687126,You ain’t Jonathan you Simone Biles’ husband,2024-01-03,44.0,0.0,Neutral
179,179,16982096,17889967274966369,@maxines.insta no,2024-01-03,17.0,-0.296,Negative
180,180,16982096,17871744615030937,@maxines.insta no one knows,2024-01-03,27.0,-0.296,Negative
181,181,60885742369,18018797776964593,Oh look! Simone Biles and her lame and none famous either successful husband 😂,2024-01-04,78.0,-0.5047,Negative
182,182,236447151,18005127314246254,"@mickaeladawn …. Just how is she dimming her light? So what do you suggest Simone do, divorce him?  Yeah I’m sure y’all want her to be lonely & miserable like y’all.  You don’t even know them but you’re trying to dictate & run their lives.",2024-01-04,239.0,0.168,Positive
183,183,236447151,18023183386903240,"@maxines.insta … Simone’s husband.  The one she pledged her love to in sickness & health, FORSAKING ALL OTHERS.",2024-01-04,111.0,0.6369,Positive
184,184,236447151,18043417126537477,@clara.mlgkc … But Simone knew all this before & married him anyway.  I personally didn’t think what he said was cruel or disrespectful.  Maybe Simone thinks he’s the prize.  That’s between married folks. Everybody deals with something other people would consider offensive.  That’s life.  Mind your business.,2024-01-04,309.0,-0.6956,Negative
185,185,236447151,18032892250738262,Amen,2024-01-04,4.0,0.0,Neutral
186,186,236447151,17968974236660348,@mickaeladawn … Simone loves him & there’s nothing you can do to change that.  Mind ya business & find a man of your own.,2024-01-04,121.0,0.5719,Positive
187,187,44437304587,17976422273495461,Awwww look at Simone,2024-01-04,20.0,0.0,Neutral
188,188,2000505048,17985397580562123,"@picsbypamela you could have mind you business about my comment too,  if you’re not happy about it . 🤷🏾‍♀️",2024-01-04,106.0,-0.4585,Negative
189,189,199523052,18008183090328173,We got whole ass makeup influencers like LesDoMakeup that have more followers and are more well known than this loser and he has the nerve to say “he’s the catch” lmaoooo bye,2024-01-04,174.0,-0.5584,Negative
190,190,50705196668,18006372023265906,That’s ironic when you wrote a whole paragraph about someone that doesn’t know you,2024-01-04,82.0,-0.128,Negative
191,191,3118260129,17856884511090992,Congrats ! Mr.Biles,2024-01-04,19.0,0.5707,Positive
192,192,862622386,18372956443079190,@nasthoc,2024-01-04,8.0,0.0,Neutral
193,193,246354,18015949823061050,Who is he ?,2024-01-05,11.0,0.0,Neutral
194,194,51693598963,17923799441743207,Beautiful❤️,2024-01-05,11.0,0.5994,Positive
195,195,61177964936,18303488074122150,He’s a millionaire and ur some chick with a clown filter. Who’s the real dusty?,2024-01-05,79.0,0.0,Neutral
196,196,21750442490,18013845169926619,"@blam.etruth That's what Kat William talks about, you go to the bathroom to do the job 😂with no moral not integrity",2024-01-05,115.0,-0.6467,Negative
197,197,2311270471,18403127218013109,Happy New Year! Great photos,2024-01-05,28.0,0.8439,Positive
198,198,35191818747,18003467000080336,@krownkae you don’t know who he is but know who he’s married to?,2024-01-01,64.0,0.0,Neutral
199,199,4247401847,18076339078437288,who??,2024-01-01,5.0,0.0,Neutral
